batch_pos_mean,epoch,lr,lr_per_step,step,test_loss,test_loss_y,train_loss,train_loss_pos,train_loss_y,train_per_step,train_pos_per_step,train_y_per_step,val_loss,val_loss_y
,0.0,1.5999999902760464e-07,,3,9.84991455078125,9.84991455078125,10.289440155029297,0.40325281023979187,10.249115943908691,,,,7.597672462463379,7.597672462463379
,1.0,3.199999980552093e-07,,7,9.466150283813477,9.466150283813477,10.58391284942627,0.40792518854141235,10.543119430541992,,,,7.358465194702148,7.358465194702148
,2.0,4.799999828719592e-07,,11,8.906970977783203,8.906970977783203,10.019611358642578,0.4040745496749878,9.979204177856445,,,,7.022242546081543,7.022242546081543
,3.0,6.399999961104186e-07,,15,8.271358489990234,8.271358489990234,9.514703750610352,0.4005253314971924,9.474652290344238,,,,6.662788391113281,6.662788391113281
,4.0,8.000000093488779e-07,,19,7.632560729980469,7.632560729980469,8.928323745727539,0.4004310667514801,8.888279914855957,,,,6.34165096282959,6.34165096282959
,5.0,9.599999657439184e-07,,23,7.095881938934326,7.095881938934326,8.589916229248047,0.40226805210113525,8.549690246582031,,,,6.125140190124512,6.125140190124512
,6.0,1.1199999789823778e-06,,27,6.718447208404541,6.718447208404541,8.122966766357422,0.4045083224773407,8.082515716552734,,,,6.028292655944824,6.028292655944824
,7.0,1.2799999922208372e-06,,31,6.481348991394043,6.481348991394043,7.7659687995910645,0.4016394317150116,7.725804805755615,,,,6.015775680541992,6.015775680541992
,8.0,1.4400000054592965e-06,,35,6.330648422241211,6.330648422241211,7.624727249145508,0.40078747272491455,7.584649085998535,,,,5.9850969314575195,5.9850969314575195
,9.0,1.6000000186977559e-06,,39,6.189976215362549,6.189976215362549,7.436059951782227,0.39843615889549255,7.396215915679932,,,,5.880090236663818,5.880090236663818
,10.0,1.7600000319362152e-06,,43,6.033333778381348,6.033333778381348,7.055363655090332,0.40178924798965454,7.015185356140137,,,,5.666018486022949,5.666018486022949
,11.0,1.919999931487837e-06,,47,5.882136344909668,5.882136344909668,6.808243751525879,0.3981197476387024,6.768431663513184,,,,5.420696258544922,5.420696258544922
-0.0012762327678501606,,,1.9999999949504854e-06,49.0,,,,,,6.9788498878479,0.3926278352737427,6.939587116241455,,
,12.0,2.080000058413134e-06,,51,5.756539821624756,5.756539821624756,6.422472953796387,0.3936060070991516,6.383111953735352,,,,5.199058532714844,5.199058532714844
