batch_pos_mean,epoch,lr,lr_per_step,step,test_loss,test_loss_y,train_loss,train_loss_pos,train_loss_y,train_per_step,train_pos_per_step,train_y_per_step,val_loss,val_loss_y
,0.0,9.599999657439184e-07,,23,226.93408203125,226.93408203125,221.03350830078125,0.5602161288261414,220.97747802734375,,,,224.63539123535156,224.63539123535156
,1.0,1.919999931487837e-06,,47,208.5941619873047,208.5941619873047,208.20953369140625,0.5554174184799194,208.15399169921875,,,,205.6490020751953,205.6490020751953
1.2877840995788574,,,1.9999999949504854e-06,49.0,,,,,,189.97128295898438,0.5713372230529785,189.91415405273438,,
,2.0,2.880000010918593e-06,,71,182.71417236328125,182.71417236328125,185.83795166015625,0.5472512245178223,185.78323364257812,,,,179.90890502929688,179.90890502929688
,3.0,3.839999862975674e-06,,95,155.5956573486328,155.5956573486328,160.65512084960938,0.5341535210609436,160.60171508789062,,,,154.11459350585938,154.11459350585938
1.2207369804382324,,,3.999999989900971e-06,99.0,,,,,,138.0606689453125,0.5194494128227234,138.00872802734375,,
,4.0,4.800000169780105e-06,,119,134.6385498046875,134.6385498046875,137.84140014648438,0.5177904367446899,137.78964233398438,,,,134.58889770507812,134.58889770507812
,5.0,5.760000021837186e-06,,143,116.52639770507812,116.52639770507812,118.99055480957031,0.49876463413238525,118.94068145751953,,,,116.91024780273438,116.91024780273438
1.1720247268676758,,,6.000000212225132e-06,149.0,,,,,,107.50151062011719,0.4813053607940674,107.45338439941406,,
,6.0,6.719999873894267e-06,,167,102.02662658691406,102.02662658691406,102.62457275390625,0.47640079259872437,102.5769271850586,,,,102.18782043457031,102.18782043457031
,7.0,7.679999725951348e-06,,191,91.6640625,91.6640625,89.78125762939453,0.4509475827217102,89.73616790771484,,,,92.19398498535156,92.19398498535156
1.2478053569793701,,,7.999999979801942e-06,199.0,,,,,,78.17427062988281,0.4264035224914551,78.13163757324219,,
,8.0,8.639999578008428e-06,,215,81.14128112792969,81.14128112792969,79.2739028930664,0.42124417424201965,79.23178100585938,,,,83.33596801757812,83.33596801757812
,9.0,9.599999430065509e-06,,239,73.52468872070312,73.52468872070312,71.27643585205078,0.38683053851127625,71.23774719238281,,,,76.2657241821289,76.2657241821289
1.2236783504486084,,,9.999999747378752e-06,249.0,,,,,,67.71751403808594,0.3516871929168701,67.68234252929688,,
,10.0,1.0560000191617291e-05,,263,68.75691223144531,68.75691223144531,65.11824035644531,0.34688231348991394,65.08355712890625,,,,70.77995300292969,70.77995300292969
,11.0,1.1520000043674372e-05,,287,65.03692626953125,65.03692626953125,58.1561279296875,0.299669474363327,58.12615966796875,,,,65.93299102783203,65.93299102783203
1.2178781032562256,,,1.2000000424450263e-05,299.0,,,,,,52.56682586669922,0.25249484181404114,52.54157638549805,,
,12.0,1.2479999895731453e-05,,311,59.41593551635742,59.41593551635742,52.554569244384766,0.24132204055786133,52.530433654785156,,,,59.87583541870117,59.87583541870117
,13.0,1.3439999747788534e-05,,335,56.50148391723633,56.50148391723633,48.0686149597168,0.17530018091201782,48.051082611083984,,,,55.887550354003906,55.887550354003906
1.2662684917449951,,,1.4000000192027073e-05,349.0,,,,,,44.436485290527344,0.13576236367225647,44.42291259765625,,
,14.0,1.4399999599845614e-05,,359,52.771942138671875,52.771942138671875,44.05415344238281,0.1374102681875229,44.04041290283203,,,,52.488075256347656,52.488075256347656
,15.0,1.5359999451902695e-05,,383,50.30076599121094,50.30076599121094,41.26905059814453,0.1270122528076172,41.256351470947266,,,,50.667572021484375,50.667572021484375
1.2863435745239258,,,1.5999999959603883e-05,399.0,,,,,,40.451507568359375,0.11837658286094666,40.439666748046875,,
,16.0,1.6320000213454477e-05,,407,48.01893615722656,48.01893615722656,39.655487060546875,0.12063660472631454,39.6434211730957,,,,47.688682556152344,47.688682556152344
,17.0,1.7279999156016856e-05,,431,46.64796829223633,46.64796829223633,36.159942626953125,0.11561822146177292,36.148380279541016,,,,45.43614959716797,45.43614959716797
1.1851410865783691,,,1.8000000636675395e-05,449.0,,,,,,34.870338439941406,0.11100754886865616,34.85923767089844,,
,18.0,1.823999991756864e-05,,455,45.13269805908203,45.13269805908203,34.22895812988281,0.11275061964988708,34.217681884765625,,,,44.044189453125,44.044189453125
,19.0,1.9199998860131018e-05,,479,43.350852966308594,43.350852966308594,31.395214080810547,0.11010903865098953,31.384204864501953,,,,42.28188705444336,42.28188705444336
1.2823163270950317,,,1.9999999494757503e-05,499.0,,,,,,29.685819625854492,0.1069885864853859,29.675121307373047,,
,20.0,2.01599996216828e-05,,503,40.445709228515625,40.445709228515625,29.311195373535156,0.10823720693588257,29.300371170043945,,,,40.953086853027344,40.953086853027344
,21.0,2.111999856424518e-05,,527,41.74400329589844,41.74400329589844,28.92842674255371,0.10655452311038971,28.917770385742188,,,,41.074485778808594,41.074485778808594
1.1912643909454346,,,2.2000000171829015e-05,549.0,,,,,,26.480194091796875,0.10430828481912613,26.469762802124023,,
,22.0,2.2079999325796962e-05,,551,37.45038604736328,37.45038604736328,27.61423110961914,0.10578619688749313,27.603652954101562,,,,38.48549270629883,38.48549270629883
,23.0,2.3040000087348744e-05,,575,36.27268981933594,36.27268981933594,25.74022102355957,0.10463409870862961,25.72975730895996,,,,36.5184326171875,36.5184326171875
1.2497278451919556,,,2.4000000848900527e-05,599.0,,,,,,25.452667236328125,0.10431844741106033,25.442235946655273,,
,24.0,2.3999999029911123e-05,,599,35.29618835449219,35.29618835449219,24.250856399536133,0.10378271341323853,24.240478515625,,,,35.23475646972656,35.23475646972656
,25.0,2.4959999791462906e-05,,623,34.05146789550781,34.05146789550781,24.006879806518555,0.10305555909872055,23.9965763092041,,,,34.71440124511719,34.71440124511719
,26.0,2.5919998734025285e-05,,647,33.1793212890625,33.1793212890625,22.602203369140625,0.10252786427736282,22.591951370239258,,,,33.27734375,33.27734375
1.2488850355148315,,,2.5999999706982635e-05,649.0,,,,,,21.983848571777344,0.10173193365335464,21.973674774169922,,
,27.0,2.6879999495577067e-05,,671,38.430625915527344,38.430625915527344,22.344135284423828,0.10192656517028809,22.333942413330078,,,,38.50809860229492,38.50809860229492
,28.0,2.7839998438139446e-05,,695,36.42015838623047,36.42015838623047,21.4862060546875,0.10179512947797775,21.47602653503418,,,,36.24669647216797,36.24669647216797
1.2459847927093506,,,2.8000000384054147e-05,699.0,,,,,,19.399433135986328,0.09941238164901733,19.38949203491211,,
,29.0,2.879999919969123e-05,,719,33.89691162109375,33.89691162109375,22.123619079589844,0.10110864043235779,22.113508224487305,,,,34.708595275878906,34.708595275878906
,30.0,2.9759998142253608e-05,,743,29.81993293762207,29.81993293762207,20.159372329711914,0.1008344292640686,20.149288177490234,,,,30.16177749633789,30.16177749633789
1.2756476402282715,,,2.9999999242136255e-05,749.0,,,,,,18.063220977783203,0.09938912093639374,18.05328369140625,,
,31.0,3.071999890380539e-05,,767,29.5855655670166,29.5855655670166,19.139347076416016,0.10044693946838379,19.129302978515625,,,,29.716724395751953,29.716724395751953
,32.0,3.167999966535717e-05,,791,30.257816314697266,30.257816314697266,21.557861328125,0.10026981681585312,21.547834396362305,,,,30.064498901367188,30.064498901367188
1.1583635807037354,,,3.199999991920777e-05,799.0,,,,,,20.957950592041016,0.09959843754768372,20.9479923248291,,
,33.0,3.263999678893015e-05,,815,29.649913787841797,29.649913787841797,20.144760131835938,0.0998430997133255,20.13477325439453,,,,28.88774871826172,28.88774871826172
,34.0,3.359999755048193e-05,,839,28.77997589111328,28.77997589111328,19.960683822631836,0.09967910498380661,19.95071792602539,,,,28.570852279663086,28.570852279663086
1.2046453952789307,,,3.400000059627928e-05,849.0,,,,,,24.96781349182129,0.10072978585958481,24.957740783691406,,
,35.0,3.455999831203371e-05,,863,28.93654441833496,28.93654441833496,18.748271942138672,0.0991743728518486,18.738353729248047,,,,28.090892791748047,28.090892791748047
,36.0,3.5519999073585495e-05,,887,29.537450790405273,29.537450790405273,16.429777145385742,0.0989469587802887,16.41988182067871,,,,28.403030395507812,28.403030395507812
1.2163753509521484,,,3.600000127335079e-05,899.0,,,,,,14.355796813964844,0.09874708950519562,14.345922470092773,,
,37.0,3.647999983513728e-05,,911,26.79035186767578,26.79035186767578,15.783397674560547,0.09857875853776932,15.773540496826172,,,,27.05231285095215,27.05231285095215
,38.0,3.743999695871025e-05,,935,26.61332130432129,26.61332130432129,15.388490676879883,0.0985383540391922,15.37863540649414,,,,26.56912612915039,26.56912612915039
1.1845014095306396,,,3.7999998312443495e-05,949.0,,,,,,16.794174194335938,0.09803543984889984,16.78437042236328,,
,39.0,3.8399997720262036e-05,,959,28.7357120513916,28.7357120513916,25.548938751220703,0.09806020557880402,25.539133071899414,,,,27.96417999267578,27.96417999267578
,40.0,3.935999848181382e-05,,983,25.144699096679688,25.144699096679688,17.174556732177734,0.0980801209807396,17.164749145507812,,,,24.642765045166016,24.642765045166016
1.2738261222839355,,,3.9999998989515007e-05,999.0,,,,,,15.354080200195312,0.09838375449180603,15.344242095947266,,
,41.0,4.03199992433656e-05,,1007,24.683795928955078,24.683795928955078,15.07680892944336,0.09774522483348846,15.067034721374512,,,,24.53396224975586,24.53396224975586
,42.0,4.1279996366938576e-05,,1031,24.274749755859375,24.274749755859375,15.34870719909668,0.09781312197446823,15.338926315307617,,,,24.64502716064453,24.64502716064453
1.2229716777801514,,,4.199999966658652e-05,1049.0,,,,,,39.129554748535156,0.09729106724262238,39.11982345581055,,
,43.0,4.223999712849036e-05,,1055,26.10752296447754,26.10752296447754,27.110929489135742,0.09746742993593216,27.10118293762207,,,,25.85210418701172,25.85210418701172
,44.0,4.319999789004214e-05,,1079,29.67923927307129,29.67923927307129,27.931987762451172,0.09753382951021194,27.922231674194336,,,,30.007705688476562,30.007705688476562
1.264209270477295,,,4.400000034365803e-05,1099.0,,,,,,14.793872833251953,0.09681136161088943,14.784192085266113,,
,45.0,4.4159998651593924e-05,,1103,23.601945877075195,23.601945877075195,20.237537384033203,0.096909299492836,20.227846145629883,,,,23.054737091064453,23.054737091064453
,46.0,4.51199957751669e-05,,1127,23.525070190429688,23.525070190429688,14.260924339294434,0.0966196060180664,14.251262664794922,,,,23.02501106262207,23.02501106262207
1.2534143924713135,,,4.600000102072954e-05,1149.0,,,,,,12.546274185180664,0.09603896737098694,12.536670684814453,,
,47.0,4.607999653671868e-05,,1151,22.265804290771484,22.265804290771484,12.745055198669434,0.09667131304740906,12.735387802124023,,,,23.16353988647461,23.16353988647461
,48.0,4.7039997298270464e-05,,1175,21.816200256347656,21.816200256347656,14.61077880859375,0.09662806242704391,14.601116180419922,,,,22.128387451171875,22.128387451171875
1.2087855339050293,,,4.8000001697801054e-05,1199.0,,,,,,15.302650451660156,0.09453649073839188,15.293197631835938,,
,49.0,4.7999998059822246e-05,,1199,21.935794830322266,21.935794830322266,14.25754451751709,0.09676646441221237,14.247867584228516,,,,21.863994598388672,21.863994598388672
