batch_pos_mean,epoch,lr,lr_per_step,step,test_loss,test_loss_y,train_loss,train_loss_pos,train_loss_y,train_per_step,train_pos_per_step,train_y_per_step,val_loss,val_loss_y
,0.0,9.599999657439184e-07,,23,297.48297119140625,297.48297119140625,271.972900390625,1.0699059963226318,271.8659362792969,,,,262.62750244140625,262.62750244140625
,1.0,1.919999931487837e-06,,47,276.5578308105469,276.5578308105469,250.40887451171875,1.0629935264587402,250.30258178710938,,,,239.80990600585938,239.80990600585938
0.002466718666255474,,,1.9999999949504854e-06,49.0,,,,,,233.69757080078125,1.0766522884368896,233.58990478515625,,
,2.0,2.880000010918593e-06,,71,247.73983764648438,247.73983764648438,229.9738006591797,1.0481785535812378,229.86898803710938,,,,218.22947692871094,218.22947692871094
,3.0,3.839999862975674e-06,,95,213.77818298339844,213.77818298339844,204.64236450195312,1.0256052017211914,204.53981018066406,,,,192.53125,192.53125
0.0038442881777882576,,,3.999999989900971e-06,99.0,,,,,,192.96859741210938,1.0013900995254517,192.8684539794922,,
,4.0,4.800000169780105e-06,,119,184.537841796875,184.537841796875,179.23526000976562,0.9966897368431091,179.13558959960938,,,,170.43328857421875,170.43328857421875
,5.0,5.760000021837186e-06,,143,163.7003936767578,163.7003936767578,158.43081665039062,0.9607985615730286,158.33473205566406,,,,153.52337646484375,153.52337646484375
0.004181092604994774,,,6.000000212225132e-06,149.0,,,,,,140.67257690429688,0.9086514711380005,140.58169555664062,,
,6.0,6.719999873894267e-06,,167,150.09423828125,150.09423828125,143.74905395507812,0.9195196628570557,143.6571044921875,,,,141.28134155273438,141.28134155273438
,7.0,7.679999725951348e-06,,191,141.66162109375,141.66162109375,132.22027587890625,0.8707871437072754,132.13320922851562,,,,131.0583953857422,131.0583953857422
0.006634359247982502,,,7.999999979801942e-06,199.0,,,,,,123.768798828125,0.8410097360610962,123.6846923828125,,
,8.0,8.639999578008428e-06,,215,135.08786010742188,135.08786010742188,123.0310287475586,0.8140639662742615,122.94962310791016,,,,124.59673309326172,124.59673309326172
,9.0,9.599999430065509e-06,,239,129.4685821533203,129.4685821533203,115.23820495605469,0.7457335591316223,115.16362762451172,,,,116.71197509765625,116.71197509765625
0.0030338491778820753,,,9.999999747378752e-06,249.0,,,,,,108.53179931640625,0.6635210514068604,108.46544647216797,,
,10.0,1.0560000191617291e-05,,263,125.53014373779297,125.53014373779297,108.41024780273438,0.6603401303291321,108.34422302246094,,,,111.87323760986328,111.87323760986328
,11.0,1.1520000043674372e-05,,287,121.09746551513672,121.09746551513672,102.56759643554688,0.5529152154922485,102.51229858398438,,,,107.16436767578125,107.16436767578125
0.003130890429019928,,,1.2000000424450263e-05,299.0,,,,,,95.93696594238281,0.41865989565849304,95.89509582519531,,
,12.0,1.2479999895731453e-05,,311,117.25428009033203,117.25428009033203,96.71337890625,0.41434574127197266,96.67195129394531,,,,103.05958557128906,103.05958557128906
,13.0,1.3439999747788534e-05,,335,115.62800598144531,115.62800598144531,92.12191772460938,0.2595389485359192,92.09596252441406,,,,100.00979614257812,100.00979614257812
0.0016180684324353933,,,1.4000000192027073e-05,349.0,,,,,,86.5177001953125,0.19086968898773193,86.49861145019531,,
,14.0,1.4399999599845614e-05,,359,111.928466796875,111.928466796875,87.72369384765625,0.19349996745586395,87.70433807373047,,,,96.02519226074219,96.02519226074219
,15.0,1.5359999451902695e-05,,383,110.274658203125,110.274658203125,83.77542114257812,0.17254354059696198,83.75817108154297,,,,93.39335632324219,93.39335632324219
0.008078597486019135,,,1.5999999959603883e-05,399.0,,,,,,75.35585021972656,0.15591230988502502,75.34025573730469,,
,16.0,1.6320000213454477e-05,,407,111.56309509277344,111.56309509277344,79.21632385253906,0.15705972909927368,79.20062255859375,,,,92.85490417480469,92.85490417480469
,17.0,1.7279999156016856e-05,,431,112.26116180419922,112.26116180419922,78.0386734008789,0.1457633674144745,78.02409362792969,,,,92.80496215820312,92.80496215820312
0.0056440862827003,,,1.8000000636675395e-05,449.0,,,,,,79.01803588867188,0.13726472854614258,79.00431060791016,,
,18.0,1.823999991756864e-05,,455,107.52047729492188,107.52047729492188,73.88381958007812,0.13774079084396362,73.87005615234375,,,,88.73394012451172,88.73394012451172
,19.0,1.9199998860131018e-05,,479,105.74335479736328,105.74335479736328,70.92356872558594,0.1316245198249817,70.91041564941406,,,,87.02931213378906,87.02931213378906
0.002696453593671322,,,1.9999999494757503e-05,499.0,,,,,,67.45069122314453,0.12389365583658218,67.43830108642578,,
,20.0,2.01599996216828e-05,,503,102.679443359375,102.679443359375,67.42829895019531,0.1268615573644638,67.41561889648438,,,,84.92990112304688,84.92990112304688
,21.0,2.111999856424518e-05,,527,100.22315216064453,100.22315216064453,64.91030883789062,0.12321764975786209,64.89798736572266,,,,83.59175872802734,83.59175872802734
0.006686980836093426,,,2.2000000171829015e-05,549.0,,,,,,61.35779571533203,0.1196562871336937,61.345829010009766,,
,22.0,2.2079999325796962e-05,,551,101.7708511352539,101.7708511352539,63.63599395751953,0.12038128077983856,63.62395477294922,,,,83.14572143554688,83.14572143554688
,23.0,2.3040000087348744e-05,,575,97.45108032226562,97.45108032226562,62.77356719970703,0.11779424548149109,62.761783599853516,,,,82.48333740234375,82.48333740234375
0.0055312952026724815,,,2.4000000848900527e-05,599.0,,,,,,48.32975387573242,0.11435352265834808,48.31831741333008,,
,24.0,2.3999999029911123e-05,,599,97.38797760009766,97.38797760009766,59.006553649902344,0.11590221524238586,58.994964599609375,,,,80.38958740234375,80.38958740234375
,25.0,2.4959999791462906e-05,,623,98.62522888183594,98.62522888183594,57.128273010253906,0.11437846720218658,57.11683654785156,,,,80.21337890625,80.21337890625
,26.0,2.5919998734025285e-05,,647,105.32771301269531,105.32771301269531,55.10698318481445,0.11299175769090652,55.09568786621094,,,,85.316162109375,85.316162109375
0.005194590426981449,,,2.5999999706982635e-05,649.0,,,,,,51.49705505371094,0.11203208565711975,51.48585510253906,,
,27.0,2.6879999495577067e-05,,671,98.14141845703125,98.14141845703125,55.093406677246094,0.11148502677679062,55.082252502441406,,,,79.5343017578125,79.5343017578125
,28.0,2.7839998438139446e-05,,695,97.5093002319336,97.5093002319336,52.11928176879883,0.11065737158060074,52.10821533203125,,,,79.19304656982422,79.19304656982422
0.008167959749698639,,,2.8000000384054147e-05,699.0,,,,,,50.49474334716797,0.10847972333431244,50.48389434814453,,
,29.0,2.879999919969123e-05,,719,95.29301452636719,95.29301452636719,49.34543991088867,0.10926176607608795,49.33451461791992,,,,78.33377075195312,78.33377075195312
,30.0,2.9759998142253608e-05,,743,93.14994812011719,93.14994812011719,48.63421630859375,0.10906670242547989,48.62330627441406,,,,77.29006958007812,77.29006958007812
0.00427011726424098,,,2.9999999242136255e-05,749.0,,,,,,44.734134674072266,0.10678178071975708,44.72345733642578,,
,31.0,3.071999890380539e-05,,767,94.45986938476562,94.45986938476562,49.132972717285156,0.10807338356971741,49.12216567993164,,,,76.98401641845703,76.98401641845703
,32.0,3.167999966535717e-05,,791,90.92839050292969,90.92839050292969,45.88236999511719,0.10741330683231354,45.87162780761719,,,,76.64352416992188,76.64352416992188
0.0038518523797392845,,,3.199999991920777e-05,799.0,,,,,,67.1347885131836,0.1070268452167511,67.12408447265625,,
,33.0,3.263999678893015e-05,,815,91.4381103515625,91.4381103515625,49.78666687011719,0.10702935606241226,49.775970458984375,,,,76.16790771484375,76.16790771484375
,34.0,3.359999755048193e-05,,839,98.26832580566406,98.26832580566406,48.37672424316406,0.10676420480012894,48.366050720214844,,,,79.56053161621094,79.56053161621094
0.0025575608015060425,,,3.400000059627928e-05,849.0,,,,,,47.59423065185547,0.10564164072275162,47.58366775512695,,
,35.0,3.455999831203371e-05,,863,89.71173095703125,89.71173095703125,44.896400451660156,0.10591202974319458,44.885807037353516,,,,75.25636291503906,75.25636291503906
,36.0,3.5519999073585495e-05,,887,89.60826873779297,89.60826873779297,41.56614303588867,0.10565066337585449,41.55557632446289,,,,75.4160385131836,75.4160385131836
0.006482238881289959,,,3.600000127335079e-05,899.0,,,,,,35.116092681884766,0.1056366115808487,35.10552978515625,,
,37.0,3.647999983513728e-05,,911,89.34907531738281,89.34907531738281,39.25346374511719,0.10505448281764984,39.24295425415039,,,,75.9013442993164,75.9013442993164
,38.0,3.743999695871025e-05,,935,99.15367889404297,99.15367889404297,42.56216812133789,0.10454560071229935,42.55171585083008,,,,81.68247985839844,81.68247985839844
0.004654953256249428,,,3.7999998312443495e-05,949.0,,,,,,50.975425720214844,0.10470375418663025,50.9649543762207,,
,39.0,3.8399997720262036e-05,,959,92.38519287109375,92.38519287109375,46.18233108520508,0.10425618290901184,46.17190170288086,,,,76.08854675292969,76.08854675292969
,40.0,3.935999848181382e-05,,983,91.85376739501953,91.85376739501953,37.82582092285156,0.10432098060846329,37.815391540527344,,,,75.2602310180664,75.2602310180664
0.0041717845015227795,,,3.9999998989515007e-05,999.0,,,,,,35.18964385986328,0.10419662296772003,35.17922592163086,,
,41.0,4.03199992433656e-05,,1007,88.8155517578125,88.8155517578125,35.717803955078125,0.10367939621210098,35.707435607910156,,,,75.03814697265625,75.03814697265625
,42.0,4.1279996366938576e-05,,1031,91.67918395996094,91.67918395996094,34.81936264038086,0.1032981425523758,34.80903625488281,,,,74.47002410888672,74.47002410888672
0.0017833783058449626,,,4.199999966658652e-05,1049.0,,,,,,47.933502197265625,0.10361558198928833,47.92314147949219,,
,43.0,4.223999712849036e-05,,1055,93.31017303466797,93.31017303466797,34.73184585571289,0.10345087200403214,34.721500396728516,,,,76.45269012451172,76.45269012451172
,44.0,4.319999789004214e-05,,1079,90.29299926757812,90.29299926757812,37.73321533203125,0.10306069999933243,37.72290802001953,,,,81.51398468017578,81.51398468017578
0.00727307191118598,,,4.400000034365803e-05,1099.0,,,,,,32.26221466064453,0.10391901433467865,32.25182342529297,,
,45.0,4.4159998651593924e-05,,1103,91.58072662353516,91.58072662353516,36.79418182373047,0.10264070332050323,36.78392028808594,,,,75.62252807617188,75.62252807617188
,46.0,4.51199957751669e-05,,1127,96.25570678710938,96.25570678710938,31.259719848632812,0.10236094892024994,31.24948501586914,,,,79.05599975585938,79.05599975585938
0.007660514209419489,,,4.600000102072954e-05,1149.0,,,,,,26.18303680419922,0.1018340066075325,26.172855377197266,,
,47.0,4.607999653671868e-05,,1151,92.78767395019531,92.78767395019531,31.26861572265625,0.10170029103755951,31.258445739746094,,,,77.4442138671875,77.4442138671875
,48.0,4.7039997298270464e-05,,1175,92.39328002929688,92.39328002929688,31.247325897216797,0.10193999856710434,31.237133026123047,,,,75.60415649414062,75.60415649414062
0.006075986661016941,,,4.8000001697801054e-05,1199.0,,,,,,27.972200393676758,0.1002633273601532,27.962173461914062,,
,49.0,4.7999998059822246e-05,,1199,89.32621765136719,89.32621765136719,30.173917770385742,0.10191138088703156,30.163726806640625,,,,75.20576477050781,75.20576477050781
